2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999136, OrderId: 1000512859059, Instruction: BUY, Quantity: 100.0, Position: 100.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999198, OrderId: 1000512859072, Instruction: BUY, Quantity: 100.0, Position: 200.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999261, OrderId: 1000512859083, Instruction: BUY, Quantity: 50.0, Position: 250.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999324, OrderId: 1000512859175, Instruction: SELL, Quantity: 100.0, Position: 150.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999386, OrderId: 1000512859183, Instruction: SELL, Quantity: 99.0, Position: 51.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999429, OrderId: 1000512859183, Instruction: SELL, Quantity: 1.0, Position: 50.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999490, OrderId: 1000512859188, Instruction: SELL, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:08,999 - INFO - Order to FLATTEN: Time: 2024-05-20 22:41:08.999531, OrderId: 1000512859188, Instruction: SELL, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999591, OrderId: 1000512859211, Instruction: SELL_SHORT, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999652, OrderId: 1000512859215, Instruction: BUY_TO_COVER, Quantity: 150.0, Position: 0.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999714, OrderId: 1000512859217, Instruction: BUY, Quantity: 100.0, Position: 100.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999778, OrderId: 1000512859219, Instruction: BUY, Quantity: 100.0, Position: 200.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999840, OrderId: 1000512859227, Instruction: BUY, Quantity: 50.0, Position: 250.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999902, OrderId: 1000512859237, Instruction: BUY, Quantity: 30.0, Position: 280.0
2024-05-20 22:41:08,999 - INFO - Time: 2024-05-20 22:41:08.999965, OrderId: 1000512859326, Instruction: BUY, Quantity: 10.0, Position: 290.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000027, OrderId: 1000512859338, Instruction: SELL, Quantity: 290.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Order to FLATTEN: Time: 2024-05-20 22:41:09.000068, OrderId: 1000512859338, Instruction: SELL, Quantity: 290.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000128, OrderId: 1000512859340, Instruction: SELL_SHORT, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000190, OrderId: 1000512859347, Instruction: SELL_SHORT, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000261, OrderId: 1000512859391, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000324, OrderId: 1000512859395, Instruction: SELL_SHORT, Quantity: 30.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000386, OrderId: 1000512859433, Instruction: BUY_TO_COVER, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000448, OrderId: 1000512859435, Instruction: BUY_TO_COVER, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000509, OrderId: 1000512859437, Instruction: BUY_TO_COVER, Quantity: 80.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000571, OrderId: 1000512859443, Instruction: BUY, Quantity: 100.0, Position: 100.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000633, OrderId: 1000512859450, Instruction: SELL, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000694, OrderId: 1000512859452, Instruction: SELL_SHORT, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000755, OrderId: 1000512859456, Instruction: SELL_SHORT, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000816, OrderId: 1000512859494, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000878, OrderId: 1000512859500, Instruction: BUY_TO_COVER, Quantity: 250.0, Position: 0.0
2024-05-20 22:41:09,000 - INFO - Time: 2024-05-20 22:41:09.000940, OrderId: 1000512859504, Instruction: BUY, Quantity: 100.0, Position: 100.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001003, OrderId: 1000512859506, Instruction: BUY, Quantity: 100.0, Position: 200.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001065, OrderId: 1000512859524, Instruction: SELL, Quantity: 200.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Order to FLATTEN: Time: 2024-05-20 22:41:09.001106, OrderId: 1000512859524, Instruction: SELL, Quantity: 200.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001166, OrderId: 1000512859528, Instruction: SELL_SHORT, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001227, OrderId: 1000512859530, Instruction: SELL_SHORT, Quantity: 100.0, Position: 0.0
